system:index,AOD,AQI,CO,Latitude,Longitude,PM25,humidity,name,temperature,.geo
00000000000000002479_0,416.0,37.262783,0.04049026737821968,24.90431782289189,76.93760558179713,22.35767,17.773129952842744,Point_9337,33.979287428326074,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.93621250841642,24.905791252213735]}"
0000000000000000247a_0,244.0,18.825846,0.02653101255556336,33.73053269750491,70.55631326654223,11.295507,52.29398930750252,Point_9338,17.992057339350424,"{""geodesic"":false,""type"":""Point"",""coordinates"":[70.55817399116782,33.72724734226744]}"
0000000000000000247b_0,457.0,35.712387,0.0386072188026311,23.43206017650452,75.46808139197108,21.427433,20.725900455233543,Point_9339,33.52717629008828,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.4719585953016,23.43255418625772]}"
0000000000000000247c_0,552.0,27.013649,0.043302825166391,22.21846597626348,92.08211940252463,16.208189,70.23952841071977,Point_9340,29.511693705452842,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.08180819867155,22.219828552696367]}"
0000000000000000247e_0,819.0,45.572365,0.04753807608900838,22.37708071074732,86.98768046833811,27.343418,55.585658717461726,Point_9342,31.338621738221946,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.98836053771387,22.38152530383788]}"
0000000000000000247f_0,198.0,5.47097,0.018253650840203854,32.6193562676957,84.12582743609542,3.282582,28.80616271135023,Point_9343,2.513999478022299,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.1227347813726,32.622319542800426]}"
00000000000000002480_0,1312.0,68.571335,0.05413004286638678,25.70831891737143,88.37499653552996,41.1428,56.558730902087895,Point_9344,29.360163757536156,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.37176607525794,25.70529185508011]}"
00000000000000002481_0,1099.0,21.015821,0.0437977040681366,21.685796956165248,88.84946386654492,12.609493,78.8725339579348,Point_9345,30.078506856494528,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.84787317584127,21.689822535065847]}"
00000000000000002483_0,809.0,73.609146,0.04699795593945713,28.036803215255635,79.19771707678598,44.165485,31.138640971318825,Point_9347,31.89901602533132,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.19996702439762,28.040911593790863]}"
00000000000000002484_0,574.0,44.345787,0.04556439586281716,23.974147795191364,80.11550731325563,26.607471,24.138997443295366,Point_9348,32.89395688904659,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.11624861419953,23.97154335672943]}"
00000000000000002486_0,288.0,12.688238,0.028280862478641536,28.288523857734774,96.68170126251981,7.612943,84.3428134618678,Point_9350,6.523364983664635,"{""geodesic"":false,""type"":""Point"",""coordinates"":[96.6811824533635,28.292439873344332]}"
00000000000000002487_0,606.0,56.773415,0.048919178887129044,27.855155509737283,95.69523580281489,34.06405,67.10056045537887,Point_9351,25.653315613004906,"{""geodesic"":false,""type"":""Point"",""coordinates"":[95.69303564083204,27.852265384125765]}"
00000000000000002488_0,272.0,27.06966,0.029760152398557442,30.4074063054152,69.46273013678395,16.241796,17.185640816655827,Point_9352,26.18411124017507,"{""geodesic"":false,""type"":""Point"",""coordinates"":[69.46222934454201,30.403480791025206]}"
0000000000000000248b_0,235.0,44.46299,0.04075946688724371,27.83309197121735,75.81149499570529,26.677794,17.896585854509723,Point_9355,32.90219663514034,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.81331840326702,27.834299078443376]}"
0000000000000000248d_0,666.0,97.06101,0.05055123075010884,28.204095956354887,77.71306089960093,58.236607,25.090361218421243,Point_9357,32.61261194547018,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.70876365275922,28.20260834493238]}"
0000000000000000248e_0,429.0,31.895819,0.03692150915321175,25.702287997704076,94.80106290431657,19.137491,61.9306851942581,Point_9358,23.18300921652053,"{""geodesic"":false,""type"":""Point"",""coordinates"":[94.8037035095537,25.70529185508011]}"
0000000000000000248f_0,590.0,48.761494,0.044101438875442184,22.363530970905405,80.35272141359266,29.256897,30.557577677338465,Point_9359,31.738591898812217,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.34981058807061,22.36355899815549]}"
00000000000000002490_0,404.0,4.060623,0.016326081980778416,34.631715714187216,90.2192078839621,2.436374,61.74669167399867,Point_9360,-5.274344163470801,"{""geodesic"":false,""type"":""Point"",""coordinates"":[90.22229556054414,34.634545779228155]}"
00000000000000002494_0,630.0,34.687904,0.04018131710110086,22.623003858856933,96.41617603697654,20.812742,59.23332776677239,Point_9364,26.865351745817406,"{""geodesic"":false,""type"":""Point"",""coordinates"":[96.41168786812764,22.62407043055015]}"
